X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,result_num,status,formatted_,place_id,location_t,latlong,icon_url
7.63126,51.2191038,LÃ¼denscheid,"79086","74578","79401","80613","75463","72313",Nordrhein-Westfalen,"1","0",OK,"Lüdenscheid, Germany",ChIJhaM3V7ZJuUcR4KVPw1v-K5g,APPROXIMATE,"51.2191038,7.631259999999999",./0.png
9.195464,48.8940624,Ludwigsburg,"78111","81589","82343","87146","87735","93584",Baden-WÃ¼rttemberg,"1","0",OK,"Ludwigsburg, Germany",ChIJG0r0mB3OmUcREC8JjTz9HwQ,APPROXIMATE,"48.8940624,9.195464",./0.png
8.44518,49.47741,Ludwigshafen am Rhein,"176257","159399","162233","163383","164351","172253",Rheinland-Pfalz,"1","0",OK,"Ludwigshafen, Germany",ChIJY4Hac2nMl0cRwhx3V3rcjjk,APPROXIMATE,"49.47741,8.445179999999999",./0.png
10.4115179,53.2464214,LÃ¼neburg,"59763","62225","61870","67398","72983","75711",Niedersachsen,"1","0",OK,"Lüneburg, Germany",ChIJW6SejMXdsUcRw_701MwGAMY,APPROXIMATE,"53.2464214,10.4115179",./0.png
7.4652981,51.5135872,LÃ¼nen,"71826","85872","87845","92017","87530","86348",Nordrhein-Westfalen,"1","0",OK,"Dortmund, Germany",ChIJEXrwv2AXuUcRUIdUMYHyJwQ,APPROXIMATE,"51.5135872,7.465298100000001",./0.png
11.6276237,52.1205333,Magdeburg,"272237","289032","278807","231450","231525","237565",Sachsen-Anhalt,"1","0",OK,"Magdeburg, Germany",ChIJW-raVf_1pUcRYBAH-FlmIwQ,APPROXIMATE,"52.1205333,11.6276237",./0.png
8.2472526,49.9928617,Mainz,"174858","187392","179486","182870","199237","218578",Rheinland-Pfalz,"1","0",OK,"Mainz, Germany",ChIJeRPfMy6RvUcRoBvbENXUIgQ,APPROXIMATE,"49.9928617,8.2472526",./0.png
8.4660395,49.4874592,Mannheim,"332378","304303","310411","306729","313174","310658",Baden-WÃ¼rttemberg,"1","0",OK,"Mannheim, Germany",ChIJRT-OUSTMl0cRh-YGpHr-5LE,APPROXIMATE,"49.4874592,8.466039499999999",./0.png
8.7667933,50.8021728,Marburg,"47230","76419","74146","77390","80656","77129",Hessen,"1","0",OK,"Marburg, Germany",ChIJ6SnbQENivEcR4KiwKVBDIgQ,APPROXIMATE,"50.8021728,8.7667933",./0.png
7.1060218,51.6591234,Marl,"76999","89082","91467","93256","87557","84067",Nordrhein-Westfalen,"1","0",OK,"Marl, Germany",ChIJx16WK8D6uEcRGGazVbSbKmg,APPROXIMATE,"51.65912340000001,7.1060218",./0.png
